id,name_en,name_cn,category,description,keywords,prompt_template,negative_prompt,example_prompt,use_cases,difficulty
isometric,Isometric,等距设计,illustration,"3D isometric view with parallel lines","isometric,3d,parallel,geometric,technical","A {subject} in isometric view, with parallel lines, 3D perspective, and technical precision","perspective,curved,organic","A city in isometric view, with parallel lines, 3D perspective, and technical precision","games,infographics,architecture",medium
anime,Anime Style,日系动漫,illustration,"Japanese anime style with expressive characters","anime,manga,japanese,expressive,cute","A {subject} in anime style, with expressive eyes, dynamic poses, and vibrant colors","realistic,western,photorealistic","A character in anime style, with expressive eyes, dynamic poses, and vibrant colors","characters,illustrations,fan art",easy
comic-book,Comic Book,美漫风格,illustration,"Western comic book style with bold lines and halftone","comic,western,halftone,bold,dynamic","A {subject} in comic book style, with bold outlines, halftone shading, and dynamic composition","anime,realistic,minimal","A superhero in comic book style, with bold outlines, halftone shading, and dynamic composition","comics,posters,action scenes",medium
children-illustration,Children's Illustration,儿童插画,illustration,"Whimsical children's book illustration style","children,whimsical,playful,colorful,cute","A {subject} in children's illustration style, with whimsical characters, playful composition, and bright colors","dark,realistic,horror","A forest scene in children's illustration style, with whimsical characters, playful composition, and bright colors","books,children's content,education",easy
low-poly,Low Poly,低多边形,3d,"Geometric low-poly 3D style with faceted surfaces","low-poly,geometric,faceted,3d,polygonal","A {subject} in low-poly 3D style, with geometric shapes, faceted surfaces, and minimalist aesthetic","smooth,realistic,detailed","A mountain landscape in low-poly 3D style, with geometric shapes, faceted surfaces, and minimalist aesthetic","games,icons,modern art",medium
voxel-art,Voxel Art,体素艺术,3d,"3D voxel art like Minecraft style","voxel,minecraft,3d,blocky,cubic","A {subject} in voxel art style, with cubic blocks, 3D depth, and game-like aesthetic","smooth,organic,realistic","A house in voxel art style, with cubic blocks, 3D depth, and game-like aesthetic","games,3D art,retro",easy
c4d-style,C4D Style,C4D风格,3d,"Cinema 4D style 3D render with glossy materials","c4d,cinema4d,3d,glossy,render","A {subject} in C4D style, with glossy materials, smooth rendering, and professional lighting","flat,2d,hand-drawn","A product in C4D style, with glossy materials, smooth rendering, and professional lighting","product viz,advertising,3D art",hard
blender-render,Blender Render,Blender渲染,3d,"Blender 3D render with realistic materials","blender,3d,render,realistic,materials","A {subject} in Blender 3D render style, with realistic materials, accurate lighting, and high detail","cartoon,flat,2d","A still life in Blender 3D render style, with realistic materials, accurate lighting, and high detail","product viz,archviz,realism",hard
double-exposure,Double Exposure,双重曝光,effect,"Artistic double exposure blending two images","double exposure,blend,overlay,artistic,surreal","A {subject} with double exposure effect, blending two images artistically with surreal composition","single image,realistic,straightforward","A portrait with double exposure effect, blending cityscape and face artistically","art,portraits,creative",medium
light-painting,Light Painting,光绘,effect,"Long exposure light painting with glowing trails","light painting,long exposure,glowing,trails,night","A {subject} with light painting effect, with glowing trails, long exposure, and night atmosphere","daylight,static,conventional","A scene with light painting effect, with glowing trails, long exposure, and night atmosphere","night photography,art,experimental",medium
infrared,Infrared Photography,红外摄影,effect,"Surreal infrared photography with false colors","infrared,surreal,false colors,nature,ethereal","A {subject} in infrared photography style, with false colors, ethereal glow, and surreal atmosphere","normal color,realistic,conventional","A landscape in infrared photography style, with false colors, ethereal glow, and surreal atmosphere","nature,art,experimental",hard
tilt-shift,Tilt-Shift,移轴摄影,effect,"Miniature tilt-shift effect with selective focus","tilt-shift,miniature,selective focus,blur,small","A {subject} with tilt-shift effect, creating miniature appearance with selective focus and blur","full scale,deep focus,realistic","A cityscape with tilt-shift effect, creating miniature appearance with selective focus and blur","cityscapes,toy-like,creative",medium
film-noir,Film Noir,黑色电影,photography,"High contrast black and white film noir style","film noir,black and white,high contrast,dramatic,moody","A {subject} in film noir style, with high contrast black and white, dramatic lighting, and moody atmosphere","color,bright,cheerful","A scene in film noir style, with high contrast black and white, dramatic lighting, and moody atmosphere","cinematic,portraits,drama",medium
polaroid,Polaroid,宝丽来,photography,"Vintage Polaroid instant photo style","polaroid,vintage,instant,faded,retro","A {subject} as a Polaroid instant photo, with vintage colors, faded edges, and retro aesthetic","digital,sharp,modern","A memory as a Polaroid instant photo, with vintage colors, faded edges, and retro aesthetic","nostalgia,vintage,casual",easy
black-white,Black and White,黑白摄影,photography,"Classic black and white photography","black and white,monochrome,classic,timeless","A {subject} in black and white photography, with classic monochrome tones and timeless composition","color,vibrant,modern","A portrait in black and white photography, with classic monochrome tones and timeless composition","portraits,street,art",easy
long-exposure,Long Exposure,长曝光,photography,"Smooth long exposure with motion blur","long exposure,motion blur,smooth,silk,water","A {subject} with long exposure effect, showing motion blur, smooth water, and silk-like clouds","frozen,sharp,instant","A waterfall with long exposure effect, showing motion blur, smooth water, and silk-like clouds","landscapes,water,night",medium
macro,Macro Photography,微距摄影,photography,"Extreme close-up macro photography","macro,close-up,detail,tiny,magnified","A {subject} in macro photography, showing extreme close-up details, magnified textures, and tiny elements","wide angle,distant,overview","A flower in macro photography, showing extreme close-up details, magnified textures, and tiny elements","nature,product,detail",medium
minimalist,Minimalist,极简主义,style,"Clean minimalist design with negative space","minimalist,clean,simple,negative space,elegant","A {subject} in minimalist style, with clean composition, negative space, and elegant simplicity","complex,detailed,ornate","A logo in minimalist style, with clean composition, negative space, and elegant simplicity","design,branding,modern art",easy
abstract-expressionism,Abstract Expressionism,抽象表现主义,style,"Bold abstract expressionist with gestural brushwork","abstract,expressionist,gestural,bold,emotional","A {subject} in abstract expressionist style, with bold gestural brushwork, emotional colors, and dynamic composition","realistic,structured,precise","A canvas in abstract expressionist style, with bold gestural brushwork, emotional colors, and dynamic composition","art,galleries,emotional",hard
art-nouveau,Art Nouveau,新艺术运动,style,"Elegant Art Nouveau with organic flowing lines","art nouveau,organic,flowing,ornamental,elegant","A {subject} in Art Nouveau style, with organic flowing lines, ornamental details, and elegant composition","geometric,modern,minimal","A poster in Art Nouveau style, with organic flowing lines, ornamental details, and elegant composition","posters,decorative,illustration",medium
art-deco,Art Deco,装饰艺术,style,"Geometric Art Deco with luxurious gold and symmetry","art deco,geometric,luxurious,gold,symmetric","A {subject} in Art Deco style, with geometric patterns, luxurious gold accents, and symmetric composition","organic,asymmetric,casual","A building in Art Deco style, with geometric patterns, luxurious gold accents, and symmetric composition","architecture,posters,luxury",medium
pop-art,Pop Art,波普艺术,style,"Bold pop art with bright colors and halftone dots","pop art,bright,halftone,bold,commercial","A {subject} in pop art style, with bright colors, halftone dots, and bold commercial aesthetic","subtle,muted,fine art","A celebrity portrait in pop art style, with bright colors, halftone dots, and bold commercial aesthetic","posters,commercial,art",medium
surrealism,Surrealism,超现实主义,style,"Dreamlike surrealist composition with impossible elements","surreal,dreamlike,impossible,psychological,abstract","A {subject} in surrealist style, with dreamlike composition, impossible elements, and psychological depth","realistic,logical,straightforward","A landscape in surrealist style, with dreamlike composition, impossible elements, and psychological depth","art,concepts,imaginative",hard
impressionism,Impressionism,印象派,style,"Soft impressionist with visible brushstrokes and light effects","impressionist,soft,light,atmospheric,brushstrokes","A {subject} in impressionist style, with soft visible brushstrokes, atmospheric light effects, and natural colors","sharp,photorealistic,graphic","A garden scene in impressionist style, with soft visible brushstrokes, atmospheric light effects, and natural colors","landscapes,plein air,art",medium
cubism,Cubism,立体主义,style,"Geometric cubist fragmentation of forms","cubist,geometric,fragmented,multiple angles,abstract","A {subject} in cubist style, with geometric fragmentation, multiple perspectives, and abstract forms","realistic,single perspective,organic","A portrait in cubist style, with geometric fragmentation, multiple perspectives, and abstract forms","art,concepts,modern art",hard
renaissance,Renaissance,文艺复兴,style,"Classical Renaissance with perfect proportions and perspective","renaissance,classical,proportions,perspective,masterful","A {subject} in Renaissance style, with perfect proportions, classical perspective, and masterful technique","modern,abstract,casual","A portrait in Renaissance style, with perfect proportions, classical perspective, and masterful technique","classical art,portraits,historical",hard
ukiyo-e,Ukiyo-e,浮世绘,style,"Traditional Japanese woodblock print style","ukiyo-e,japanese,woodblock,flat,traditional","A {subject} in Ukiyo-e style, with flat composition, bold outlines, and traditional Japanese aesthetic","realistic,3d,western","A landscape in Ukiyo-e style, with flat composition, bold outlines, and traditional Japanese aesthetic","Japanese art,illustrations,prints",medium
steampunk,Steampunk,蒸汽朋克,style,"Victorian steampunk with brass and gears","steampunk,victorian,brass,gears,mechanical","A {subject} in steampunk style, with Victorian aesthetics, brass mechanisms, and mechanical details","modern,minimal,plastic","A machine in steampunk style, with Victorian aesthetics, brass mechanisms, and mechanical details","concepts,design,fantasy",medium
gothic,Gothic,哥特风格,style,"Dark gothic with dramatic architecture and mood","gothic,dark,dramatic,medieval,ornate","A {subject} in gothic style, with dark dramatic atmosphere, ornate details, and medieval aesthetics","bright,modern,minimal","A cathedral in gothic style, with dark dramatic atmosphere, ornate details, and medieval aesthetics","architecture,fashion,art",medium
bohemian,Bohemian,波西米亚,style,"Free-spirited bohemian with eclectic patterns","bohemian,eclectic,free-spirited,layered,natural","A {subject} in bohemian style, with eclectic patterns, layered textures, and free-spirited aesthetic","minimal,structured,corporate","A living space in bohemian style, with eclectic patterns, layered textures, and free-spirited aesthetic","interior,fashion,lifestyle",easy
kawaii,Kawaii,可爱风格,style,"Japanese kawaii with cute rounded shapes","kawaii,cute,rounded,pastel,adorable","A {subject} in kawaii style, with cute rounded shapes, pastel colors, and adorable expression","realistic,scary,serious","A character in kawaii style, with cute rounded shapes, pastel colors, and adorable expression","characters,products,illustrations",easy
chibi,Chibi,Q版风格,style,"Super-deformed chibi with large heads","chibi,super-deformed,large head,cute,miniature","A {subject} in chibi style, with super-deformed proportions, large head, and cute miniature body","realistic,proportional,detailed","A character in chibi style, with super-deformed proportions, large head, and cute miniature body","characters,stickers,fan art",easy
line-art,Line Art,线条艺术,style,"Clean line art with minimal fills","line art,outline,minimal,clean,monochrome","A {subject} in line art style, with clean outlines, minimal fills, and elegant simplicity","filled,complex,colorful","A flower in line art style, with clean outlines, minimal fills, and elegant simplicity","illustrations,tattoos,design",easy
stained-glass,Stained Glass,彩色玻璃,style,"Colorful stained glass with leading lines","stained glass,colorful,leading,church,decorative","A {subject} in stained glass style, with colorful segments, leading lines, and luminous quality","plain,opaque,modern","A window in stained glass style, with colorful segments, leading lines, and luminous quality","decorative,religious,illustration",medium
mosaic,Mosaic,马赛克,style,"Tile mosaic with small colored pieces","mosaic,tile,fragmented,colorful,pattern","A {subject} in mosaic style, with small colored tiles, fragmented composition, and pattern detail","smooth,solid,continuous","A wall in mosaic style, with small colored tiles, fragmented composition, and pattern detail","decorative,architectural,art",medium
paper-craft,Paper Craft,纸艺,style,"3D paper craft with layered cutouts","paper,craft,layered,cutout,3d","A {subject} in paper craft style, with layered cutouts, 3D depth, and handmade aesthetic","flat,digital,smooth","A scene in paper craft style, with layered cutouts, 3D depth, and handmade aesthetic","illustrations,packaging,decorations",medium
origami,Origami,折纸,style,"Folded origami paper sculpture","origami,folded,paper,geometric,3d","A {subject} in origami style, with folded paper forms, geometric shapes, and 3D sculpture appearance","flat,organic,realistic","A crane in origami style, with folded paper forms, geometric shapes, and 3D sculpture appearance","art,illustrations,design",medium
street-art,Street Art,街头艺术,style,"Urban street art with graffiti elements","street art,graffiti,urban,bold,edgy","A {subject} in street art style, with bold graffiti elements, urban texture, and edgy composition","refined,gallery,clean","A wall in street art style, with bold graffiti elements, urban texture, and edgy composition","urban,art,murals",medium
tattoo,Tattoo Style,纹身风格,style,"Bold tattoo art with thick outlines","tattoo,bold,outlines,traditional,iconic","A {subject} in tattoo style, with bold thick outlines, traditional shading, and iconic composition","soft,watercolor,photorealistic","A design in tattoo style, with bold thick outlines, traditional shading, and iconic composition","body art,illustrations,design",medium
zentangle,Zentangle,禅绕画,style,"Meditative zentangle with repetitive patterns","zentangle,meditative,patterns,detailed,black and white","A {subject} in zentangle style, with repetitive patterns, meditative details, and intricate design","simple,minimal,colorful","A shape in zentangle style, with repetitive patterns, meditative details, and intricate design","meditation,art,patterns",medium
neon,Neon Art,霓虹艺术,style,"Glowing neon lights in dark environment","neon,glowing,vibrant,night,electric","A {subject} with neon art style, with glowing lights, vibrant colors, and electric atmosphere","daylight,subdued,natural","A sign with neon art style, with glowing lights, vibrant colors, and electric atmosphere","night scenes,signage,cyberpunk",easy
gradient,Gradient,渐变风格,style,"Smooth color gradients with modern aesthetic","gradient,smooth,modern,flowing,transition","A {subject} in gradient style, with smooth color transitions, modern aesthetic, and flowing composition","flat,solid,sharp edges","A background in gradient style, with smooth color transitions, modern aesthetic, and flowing composition","design,backgrounds,modern",easy
holographic,Holographic,全息风格,style,"Iridescent holographic with rainbow reflections","holographic,iridescent,rainbow,shiny,futuristic","A {subject} with holographic style, with iridescent rainbow reflections, shiny surface, and futuristic appearance","matte,natural,subdued","A surface with holographic style, with iridescent rainbow reflections, shiny surface, and futuristic appearance","design,products,futuristic",medium
