id,name_en,name_cn,primary_color,secondary_color,accent_color,description,emotion,use_cases,prompt_description
tropical-punch,Tropical Punch,热带水果,#FF6B6B,#FFD93D,#6BCB77,"Vibrant tropical colors","fun,tropical,energetic","summer,fun,tropical","vibrant tropical colors"
arctic-aurora,Arctic Aurora,极光,#00CED1,#7B68EE,#FF69B4,"Ethereal aurora colors","magical,ethereal,dreamy","magical,ethereal,dreamy","ethereal aurora colors"
desert-sand,Desert Sand,沙漠,#EDC9AF,#C2B280,#D2B48C,"Warm desert sand tones","warm,earthy,neutral","earthy,warm,neutral","warm desert sand tones"
plum-wine,Plum Wine,梅酒紫,#8E4585,#C77DBA,#E8B4D0,"Rich plum purples","luxurious,warm,sophisticated","luxurious,warm,sophisticated","rich plum purple tones"
steel-blue,Steel Blue,钢蓝,#4682B4,#5F9EA0,#87CEEB,"Cool steel blues","modern,professional,cool","corporate,modern,professional","cool steel blue tones"
copper-bronze,Copper Bronze,铜棕,#B87333,#CD7F32,#DAA520,"Metallic copper tones","industrial,luxury,warm","industrial,luxury,warm","metallic copper tones"
moss-green,Moss Green,苔绿,#8A9A5B,#4A5D23,#6B8E23,"Earthy moss greens","natural,organic,earthy","nature,organic,earthy","earthy moss green tones"
powder-blue,Powder Blue,粉蓝,#B0E0E6,#ADD8E6,#E0F0FF,"Soft powder blues","gentle,calm,baby","baby,calm,gentle","soft powder blue tones"
burgundy,Burgundy,勃艮第红,#800020,#A0153E,#C0392B,"Deep burgundy reds","luxurious,warm,sophisticated","luxury,warm,sophisticated","deep burgundy red tones"
teal-coral,Teal Coral,青珊瑚,#008080,#FF7F50,#FF6B6B,"Complementary teal and coral","balanced,vibrant,modern","modern,vibrant,balanced","complementary teal and coral"
silver-mist,Silver Mist,银雾,#C0C0C0,#D3D3D3,#E8E8E8,"Elegant silver grays","elegant,modern,neutral","elegant,modern,neutral","elegant silver gray tones"
golden-olive,Golden Olive,金橄榄,#808000,#BDB76B,#DAA520,"Warm golden olive tones","earthy,warm,natural","earthy,warm,natural","warm golden olive tones"
indigo-night,Indigo Night,靛蓝夜,#4B0082,#6A0DAD,#9B59B6,"Deep indigo purples","mysterious,royal,deep","mysterious,royal,deep","deep indigo purple tones"
peach-mango,Peach Mango,蜜桃芒果,#FFDAB9,#FFD700,#FFA07A,"Tropical peach mango","warm,tropical,sweet","tropical,warm,sweet","tropical peach mango tones"
slate-teal,Slate Teal,石板青,#708090,#008080,#20B2AA,"Muted slate teal","sophisticated,modern,calm","sophisticated,modern,calm","muted slate teal tones"
ruby-red,Ruby Red,宝石红,#E0115F,#9B111E,#FF0000,"Bold ruby reds","passionate,luxurious,bold","luxury,passionate,bold","bold ruby red tones"
olive-gold,Olive Gold,橄榄金,#808000,#FFD700,#DAA520,"Earthy olive and gold","earthy,luxury,natural","earthy,luxury,natural","earthy olive and gold tones"
sky-blue,Sky Blue,天蓝,#87CEEB,#00BFFF,#E0F0FF,"Clear sky blues","fresh,open,peaceful","fresh,open,peaceful","clear sky blue tones"
crimson,Crimson,深红,#DC143C,#B22222,#8B0000,"Deep crimson reds","passionate,dramatic,bold","dramatic,passionate,bold","deep crimson red tones"
jade-green,Jade Green,翡翠绿,#00A86B,#00CC88,#50C878,"Precious jade greens","luxury,nature,elegant","luxury,nature,elegant","precious jade green tones"
amber,Amber,琥珀,#FFBF00,#FF7E00,#FFB347,"Warm amber tones","warm,honey,inviting","warm,honey,inviting","warm amber tones"
violet,Violet,紫罗兰,#8F00FF,#7F00FF,#EE82EE,"Vibrant violet purples","creative,mystical,bold","creative,mystical,bold","vibrant violet purple tones"
tangerine,Tangerine,橘红,#FF9966,#FF6347,#FFA07A,"Warm tangerine oranges","energetic,warm,fun","energetic,warm,fun","warm tangerine orange tones"
periwinkle,Periwinkle,长春花,#CCCCFF,#9999FF,#6666FF,"Soft periwinkle blues","calm,dreamy,gentle","calm,dreamy,gentle","soft periwinkle blue tones"
mauve,Mauve,淡紫,#E0B0FF,#D8BFD8,#C8A2C8,"Soft mauve purples","feminine,soft,elegant","feminine,soft,elegant","soft mauve purple tones"
