id,name,category,template,variables,example,tags,quality
character-villain,Villain Character,character,"A villain character design of {description}, menacing pose, dark costume, dramatic lighting, concept art quality","description","A villain character design of dark sorcerer, menacing pose, dark costume","character,villain,dark,menacing",5
character-cute,Cute Character,character,"A cute character design of {description}, adorable expression, rounded shapes, pastel colors, kawaii style","description","A cute character design of baby dragon, adorable expression, rounded shapes","character,cute,kawaii,adorable",4
character-realistic,Realistic Character,character,"A realistic character portrait of {description}, detailed features, natural lighting, photorealistic quality","description","A realistic character portrait of elderly wizard, detailed features, natural lighting","character,realistic,detailed,photorealistic",5
food-appetizing,Appetizing Food,food,"An appetizing food photo of {dish}, styled presentation, warm lighting, food photography, delicious","dish","An appetizing food photo of pasta, styled presentation, warm lighting","food,appetizing,styled,delicious",4
food-minimal,Minimal Food,food,"A minimal food photo of {dish}, clean composition, negative space, editorial style, simple elegance","dish","A minimal food photo of sushi, clean composition, negative space","food,minimal,clean,editorial",4
food-process,Food Process,food,"A food process photo showing {process}, step-by-step, instructional, clear detail, cooking photography","process","A food process photo showing dough kneading, step-by-step, instructional","food,process,instructional,cooking",3
food-flat-lay,Food Flat Lay,food,"A food flat lay of {meal}, styled arrangement, top-down view, colorful ingredients, editorial","meal","A food flat lay of breakfast spread, styled arrangement, top-down view","food,flat-lay,styled,colorful",4
architecture-modern,Modern Architecture,architecture,"A modern architecture photo of {building}, clean lines, glass and steel, contemporary design, architectural photography","building","A modern architecture photo of skyscraper, clean lines, glass and steel","architecture,modern,contemporary,clean",4
architecture-historic,Historic Architecture,architecture,"A historic architecture photo of {building}, aged textures, classical details, atmospheric lighting, heritage","building","A historic architecture photo of cathedral, aged textures, classical details","architecture,historic,classical,heritage",4
architecture-interior,Interior Architecture,architecture,"An interior architecture photo of {space}, styled decor, natural lighting, cozy atmosphere, interior design","space","An interior architecture photo of living room, styled decor, natural lighting","architecture,interior,design,cozy",4
architecture-detail,Architectural Detail,architecture,"An architectural detail photo of {element}, close-up, texture focus, geometric pattern, abstract beauty","element","An architectural detail photo of ornate window, close-up, texture focus","architecture,detail,texture,geometric",3
nature-macro,Nature Macro,flower,"A macro photo of {subject}, extreme close-up, tiny details, natural texture, sharp focus","subject","A macro photo of dewdrop on leaf, extreme close-up, tiny details","nature,macro,close-up,detail",4
nature-wide,Wide Nature,flower,"A wide angle nature photo of {scene}, expansive view, natural beauty, atmospheric perspective","scene","A wide angle nature photo of forest, expansive view, natural beauty","nature,wide,expansive,atmospheric",4
nature-wildlife,Wildlife Photo,flower,"A wildlife photo of {animal}, natural habitat, behavioral moment, sharp detail, nature photography","animal","A wildlife photo of eagle in flight, natural habitat, behavioral moment","nature,wildlife,animal,behavioral",5
nature-underwater,Underwater Photo,flower,"An underwater photo of {subject}, aquatic environment, blue tones, marine life, underwater photography","subject","An underwater photo of coral reef, aquatic environment, blue tones","nature,underwater,aquatic,marine",5
street-candid,Candid Street,street,"A candid street photo of {scene}, decisive moment, urban life, documentary style, authentic","scene","A candid street photo of market scene, decisive moment, urban life","street,candid,documentary,authentic",4
street- night,Night Street,street,"A night street photo of {scene}, neon lights, atmospheric glow, urban mood, cinematic","scene","A night street photo of rainy street, neon lights, atmospheric glow","street,night,neon,atmospheric",5
street-abstract,Abstract Street,street,"An abstract street photo of {scene}, geometric patterns, light and shadow, urban texture, artistic","scene","An abstract street photo of building facade, geometric patterns, light and shadow","street,abstract,geometric,artistic",4
street-people,Street People,street,"A street photo of {person}, authentic expression, environmental context, human interest, photojournalism","person","A street photo of street performer, authentic expression, environmental context","street,people,authentic,human",4
concept-vehicle,Vehicle Concept,concept,"A concept design of {vehicle}, futuristic, sleek lines, detailed engineering, industrial design, high-tech","vehicle","A concept design of flying car, futuristic, sleek lines","concept,vehicle,futuristic,design",5
concept-device,Device Concept,concept,"A concept design of {device}, innovative, clean design, technology aesthetic, product design, premium","device","A concept design of smart glasses, innovative, clean design","concept,device,technology,innovative",4
concept-space,Space Concept,concept,"A space concept of {scene}, cosmic, stars, nebulae, sci-fi atmosphere, epic scale","scene","A space concept of space station, cosmic, stars, nebulae","concept,space,cosmic,sci-fi",5
concept-creature,Creature Concept,concept,"A creature concept of {creature}, detailed anatomy, fantasy design, believable, concept art quality","creature","A creature concept of dragon, detailed anatomy, fantasy design","concept,creature,fantasy,anatomy",5
mood-dark,Dark Mood,mood,"A dark moody scene of {subject}, low key lighting, dramatic shadows, mysterious atmosphere, gothic","subject","A dark moody scene of abandoned house, low key lighting, dramatic shadows","mood,dark,mysterious,dramatic",4
mood-bright,Bright Mood,mood,"A bright cheerful scene of {subject}, high key lighting, vibrant colors, happy atmosphere, uplifting","subject","A bright cheerful scene of garden party, high key lighting, vibrant colors","mood,bright,cheerful,vibrant",3
mood-nostalgic,Nostalgic Mood,mood,"A nostalgic scene of {subject}, vintage colors, faded tones, memories, retro aesthetic, sentimental","subject","A nostalgic scene of old playground, vintage colors, faded tones","mood,nostalgic,vintage,sentimental",4
mood-ethereal,Ethereal Mood,mood,"An ethereal scene of {subject}, soft glow, dreamy atmosphere, otherworldly, magical, delicate","subject","An ethereal scene of forest clearing, soft glow, dreamy atmosphere","mood,ethereal,dreamy,magical",5
lighting-dramatic,Dramatic Lighting,lighting,"A scene with dramatic lighting of {subject}, strong contrast, deep shadows, spotlight effect, theatrical","subject","A scene with dramatic lighting of portrait, strong contrast, deep shadows","lighting,dramatic,contrast,theatrical",4
lighting-soft,Soft Lighting,lighting,"A scene with soft lighting of {subject}, diffused light, gentle shadows, flattering, even illumination","subject","A scene with soft lighting of still life, diffused light, gentle shadows","lighting,soft,diffused,flattering",3
lighting-backlit,Backlit Scene,lighting,"A backlit scene of {subject}, rim light, silhouette, golden glow, atmospheric","subject","A backlit scene of person at sunset, rim light, silhouette, golden glow","lighting,backlit,rim,silhouette",4
lighting-neon,Neon Lighting,lighting,"A scene with neon lighting of {subject}, colorful glow, urban night, electric atmosphere, cyberpunk","subject","A scene with neon lighting of street, colorful glow, urban night","lighting,neon,colorful,urban",5
time-sunrise,Sunrise,time,"A sunrise scene of {location}, golden hour, warm light, new beginning, peaceful atmosphere","location","A sunrise scene of beach, golden hour, warm light","time,sunrise,golden,peaceful",4
time-midday,Midday,time,"A midday scene of {location}, bright sun, clear sky, vibrant colors, energetic atmosphere","location","A midday scene of city square, bright sun, clear sky","time,midday,bright,energetic",3
time-sunset,Sunset,time,"A sunset scene of {location}, golden hour, warm colors, dramatic sky, romantic atmosphere","location","A sunset scene of mountains, golden hour, warm colors, dramatic sky","time,sunset,golden,dramatic",5
time-twilight,Twilight,time,"A twilight scene of {location}, blue hour, soft glow, transitional light, magical atmosphere","location","A twilight scene of city skyline, blue hour, soft glow","time,twilight,blue,magical",5
weather-rain,Rainy Weather,weather,"A rainy scene of {subject}, wet reflections, droplets, moody atmosphere, cinematic","subject","A rainy scene of street, wet reflections, droplets, moody atmosphere","weather,rain,wet,moody",4
weather-fog,Foggy Weather,weather,"A foggy scene of {subject}, misty atmosphere, reduced visibility, mysterious, ethereal","subject","A foggy scene of forest, misty atmosphere, reduced visibility","weather,fog,misty,mysterious",4
weather-snow,Snowy Weather,weather,"A snowy scene of {subject}, white landscape, cold atmosphere, winter beauty, pristine","subject","A snowy scene of village, white landscape, cold atmosphere","weather,snow,winter,white",4
weather-storm,Stormy Weather,weather,"A stormy scene of {subject}, dramatic clouds, intense atmosphere, powerful, dynamic sky","subject","A stormy scene of coastline, dramatic clouds, intense atmosphere","weather,storm,dramatic,powerful",5
texture-rough,Rough Texture,texture,"A close-up of {subject} with rough texture, tactile surface, detailed grain, organic pattern","subject","A close-up of tree bark with rough texture, tactile surface, detailed grain","texture,rough,tactile,organic",3
texture-smooth,Smooth Texture,texture,"A close-up of {subject} with smooth texture, polished surface, clean lines, minimal detail","subject","A close-up of marble with smooth texture, polished surface, clean lines","texture,smooth,polished,clean",3
texture-pattern,Pattern Texture,texture,"A close-up of {subject} with repeating pattern, geometric design, rhythmic, decorative","subject","A close-up of tile with repeating pattern, geometric design, rhythmic","texture,pattern,geometric,decorative",3
texture-organic,Organic Texture,texture,"A close-up of {subject} with organic texture, natural forms, irregular, living surface","subject","A close-up of moss with organic texture, natural forms, irregular","texture,organic,natural,irregular",3
color-warm,Warm Colors,color,"A composition with warm colors featuring {subject}, reds, oranges, yellows, cozy, inviting","subject","A composition with warm colors featuring autumn leaves, reds, oranges, yellows","color,warm,cozy,inviting",3
color-cool,Cool Colors,color,"A composition with cool colors featuring {subject}, blues, greens, purples, calm, serene","subject","A composition with cool colors featuring ocean, blues, greens, purples","color,cool,calm,serene",3
color-monochrome,Monochrome,color,"A monochrome composition of {subject}, single color range, tonal variation, elegant simplicity","subject","A monochrome composition of architecture, single color range, tonal variation","color,monochrome,tonal,elegant",4
color-complementary,Complementary Colors,color,"A composition with complementary colors of {subject}, high contrast, vibrant, dynamic","subject","A composition with complementary colors of flowers, high contrast, vibrant","color,complementary,contrast,vibrant",4
color-pastel,Pastel Colors,color,"A composition with pastel colors of {subject}, soft tones, gentle, dreamy, delicate","subject","A composition with pastel colors of nursery, soft tones, gentle, dreamy","color,pastel,soft,dreamy",3
color-neon,Neon Colors,color,"A composition with neon colors of {subject}, electric, glowing, vibrant, futuristic","subject","A composition with neon colors of sign, electric, glowing, vibrant","color,neon,electric,futuristic",4
angle-eye-level,Eye Level,angle,"An eye level shot of {subject}, natural perspective, direct view, engaging, relatable","subject","An eye level shot of person, natural perspective, direct view","angle,eye-level,natural,direct",3
angle-low,Low Angle,angle,"A low angle shot of {subject}, looking up, powerful, imposing, dramatic perspective","subject","A low angle shot of building, looking up, powerful, imposing","angle,low,powerful,dramatic",4
angle-high,High Angle,angle,"A high angle shot of {subject}, looking down, overview, revealing, context","subject","A high angle shot of crowd, looking down, overview, revealing","angle,high,overview,revealing",3
angle-birds-eye,Bird's Eye,angle,"A bird's eye view of {subject}, top-down, pattern revealing, map-like, comprehensive","subject","A bird's eye view of city, top-down, pattern revealing","angle,birds-eye,top-down,pattern",4
angle-dutch,Dutch Angle,angle,"A dutch angle shot of {subject}, tilted, dynamic, disorienting, dramatic","subject","A dutch angle shot of scene, tilted, dynamic, disorienting","angle,dutch,tilted,dynamic",4
composition-rule-of-thirds,Rule of Thirds,composition,"A composition using rule of thirds with {subject}, balanced placement, visual flow, harmonious","subject","A composition using rule of thirds with landscape, balanced placement, visual flow","composition,rule-of-thirds,balanced,harmonious",3
composition-centered,Centered Composition,composition,"A centered composition of {subject}, symmetrical, formal, powerful, direct impact","subject","A centered composition of building, symmetrical, formal, powerful","composition,centered,symmetrical,formal",3
composition-leading-lines,Leading Lines,composition,"A composition with leading lines guiding to {subject}, directional, depth, visual journey","subject","A composition with leading lines guiding to focal point, directional, depth","composition,leading-lines,directional,depth",4
composition-frame-within,Frame Within Frame,composition,"A composition framing {subject} with natural frame, layered depth, contextual, storytelling","subject","A composition framing person with doorway, layered depth, contextual","composition,frame,layered,storytelling",4
composition-symmetry,Symmetry,composition,"A symmetrical composition of {subject}, perfect balance, mirror-like, formal beauty, architectural","subject","A symmetrical composition of hall, perfect balance, mirror-like","composition,symmetry,balance,formal",4
composition-asymmetry,Asymmetry,composition,"An asymmetric composition of {subject}, dynamic balance, visual tension, modern, interesting","subject","An asymmetric composition of design, dynamic balance, visual tension","composition,asymmetry,dynamic,modern",4
style-minimalist,Minimalist,style,"A minimalist interpretation of {subject}, essential elements only, negative space, clean, simple","subject","A minimalist interpretation of object, essential elements only, negative space","style,minimalist,clean,simple",4
style-maximalist,Maximalist,style,"A maximalist interpretation of {subject}, rich detail, layered elements, abundant, ornate","subject","A maximalist interpretation of room, rich detail, layered elements","style,maximalist,rich,abundant",4
style-vintage,Vintage,style,"A vintage style image of {subject}, retro colors, aged texture, nostalgic, classic","subject","A vintage style image of car, retro colors, aged texture","style,vintage,retro,nostalgic",4
style-modern,Modern,style,"A modern style image of {subject}, contemporary, clean lines, current aesthetic, sleek","subject","A modern style image of interior, contemporary, clean lines","style,modern,contemporary,sleek",3
style-futuristic,Futuristic,style,"A futuristic interpretation of {subject}, advanced technology, sleek design, sci-fi aesthetic, visionary","subject","A futuristic interpretation of city, advanced technology, sleek design","style,futuristic,sci-fi,visionary",5
style-retro,Retro,style,"A retro style image of {subject}, 80s aesthetic, bold colors, geometric patterns, nostalgic","subject","A retro style image of arcade, 80s aesthetic, bold colors","style,retro,80s,bold",4
style-bohemian,Bohemian,style,"A bohemian style image of {subject}, eclectic, layered, natural materials, free-spirited","subject","A bohemian style image of room, eclectic, layered, natural materials","style,bohemian,eclectic,free-spirited",3
style-industrial,Industrial,style,"An industrial style image of {subject}, raw materials, exposed structure, urban, edgy","subject","An industrial style image of loft, raw materials, exposed structure","style,industrial,raw,urban",4
style-coastal,Coastal,style,"A coastal style image of {subject}, beach vibes, blue and white, relaxed, airy","subject","A coastal style image of room, beach vibes, blue and white","style,coastal,beach,relaxed",3
style-forest,Forest,style,"A forest style image of {subject}, woodland elements, earth tones, natural, organic","subject","A forest style image of cabin, woodland elements, earth tones","style,forest,natural,organic",3
style-desert,Desert,style,"A desert style image of {subject}, warm earth tones, vast space, minimal, atmospheric","subject","A desert style image of landscape, warm earth tones, vast space","style,desert,warm,vast",4
style-arctic,Arctic,style,"An arctic style image of {subject}, icy blues, cold atmosphere, pristine, stark beauty","subject","An arctic style image of landscape, icy blues, cold atmosphere","style,arctic,cold,pristine",4
style-tropical,Tropical,style,"A tropical style image of {subject}, lush greens, vibrant colors, exotic, paradise","subject","A tropical style image of beach, lush greens, vibrant colors","style,tropical,lush,vibrant",3
style-gothic,Gothic,style,"A gothic style image of {subject}, dark, dramatic, ornate, medieval aesthetic","subject","A gothic style image of cathedral, dark, dramatic, ornate","style,gothic,dark,dramatic",5
style-art-nouveau,Art Nouveau,style,"An Art Nouveau style image of {subject}, organic flowing lines, decorative, elegant","subject","An Art Nouveau style image of poster, organic flowing lines, decorative","style,art-nouveau,organic,elegant",5
style-art-deco,Art Deco,style,"An Art Deco style image of {subject}, geometric luxury, gold accents, glamorous, symmetric","subject","An Art Deco style image of interior, geometric luxury, gold accents","style,art-deco,geometric,luxury",5
style-pop-art,Pop Art,style,"A Pop Art style image of {subject}, bold colors, halftone, commercial, graphic","subject","A Pop Art style image of celebrity, bold colors, halftone","style,pop-art,bold,graphic",4
style-psychedelic,Psychedelic,style,"A psychedelic style image of {subject}, vibrant swirling colors, trippy, mind-bending, abstract","subject","A psychedelic style image of pattern, vibrant swirling colors, trippy","style,psychedelic,vibrant,abstract",5
style-watercolor,Watercolor,style,"A watercolor style image of {subject}, soft washes, flowing colors, translucent, delicate","subject","A watercolor style image of flower, soft washes, flowing colors","style,watercolor,soft,delicate",4
style-oil-painting,Oil Painting,style,"An oil painting style image of {subject}, rich textures, visible brushstrokes, classical, masterful","subject","An oil painting style image of portrait, rich textures, visible brushstrokes","style,oil-painting,rich,classical",5
style-pencil,Pencil Drawing,style,"A pencil drawing style image of {subject}, detailed shading, monochrome, sketch-like, artistic","subject","A pencil drawing style image of face, detailed shading, monochrome","style,pencil,monochrome,artistic",4
style-digital-art,Digital Art,style,"A digital art style image of {subject}, clean, modern, versatile, professional","subject","A digital art style image of character, clean, modern, versatile","style,digital-art,clean,modern",3
style-3d-render,3D Render,style,"A 3D render style image of {subject}, volumetric, detailed, realistic materials, professional","subject","A 3D render style image of product, volumetric, detailed, realistic materials","style,3d-render,volumetric,professional",5
style-pixel,Pixel Art,style,"A pixel art style image of {subject}, retro, blocky, limited palette, nostalgic","subject","A pixel art style image of character, retro, blocky, limited palette","style,pixel,retro,nostalgic",3
style-vector,Vector Art,style,"A vector art style image of {subject}, clean lines, scalable, flat colors, modern","subject","A vector art style image of logo, clean lines, scalable, flat colors","style,vector,clean,scalable",3
style-line-art,Line Art,style,"A line art style image of {subject}, outlines only, minimal, elegant, graphic","subject","A line art style image of illustration, outlines only, minimal, elegant","style,line-art,minimal,elegant",3
style-stained-glass,Stained Glass,style,"A stained glass style image of {subject}, colorful segments, leading lines, luminous, decorative","subject","A stained glass style image of window, colorful segments, leading lines","style,stained-glass,colorful,decorative",5
style-mosaic,Mosaic,style,"A mosaic style image of {subject}, tiled fragments, colorful, pattern, decorative","subject","A mosaic style image of wall, tiled fragments, colorful, pattern","style,mosaic,tiled,decorative",4
style-origami,Origami,style,"An origami style image of {subject}, folded paper, geometric, 3D, sculptural","subject","An origami style image of crane, folded paper, geometric, 3D","style,origami,folded,geometric",4
style-paper-craft,Paper Craft,style,"A paper craft style image of {subject}, layered cutouts, 3D depth, handmade, tactile","subject","A paper craft style image of scene, layered cutouts, 3D depth, handmade","style,paper-craft,layered,handmade",4
style-collage,Collage,style,"A collage style image of {subject}, mixed media, layered elements, textured, artistic","subject","A collage style image of composition, mixed media, layered elements, textured","style,collage,mixed,layered",4
style-graffiti,Graffiti,style,"A graffiti style image of {subject}, urban, bold, street art, expressive","subject","A graffiti style image of wall, urban, bold, street art","style,graffiti,urban,bold",4
style-tattoo,Tattoo,style,"A tattoo style image of {subject}, bold outlines, traditional, iconic, graphic","subject","A tattoo style image of design, bold outlines, traditional, iconic","style,tattoo,bold,traditional",4
style-zentangle,Zentangle,style,"A zentangle style image of {subject}, intricate patterns, meditative, detailed, black and white","subject","A zentangle style image of shape, intricate patterns, meditative, detailed","style,zentangle,intricate,meditative",4
style-holographic,Holographic,style,"A holographic style image of {subject}, iridescent, rainbow reflections, futuristic, shiny","subject","A holographic style image of surface, iridescent, rainbow reflections, futuristic","style,holographic,iridescent,futuristic",4
style-gradient,Gradient,style,"A gradient style image of {subject}, smooth transitions, modern, flowing, colorful","subject","A gradient style image of background, smooth transitions, modern, flowing","style,gradient,smooth,modern",3
style-neon,Neon,style,"A neon style image of {subject}, glowing lights, vibrant, electric, night","subject","A neon style image of sign, glowing lights, vibrant, electric","style,neon,glowing,electric",4
style-glitch,Glitch,style,"A glitch style image of {subject}, digital distortion, error patterns, experimental, cyberpunk","subject","A glitch style image of screen, digital distortion, error patterns, experimental","style,glitch,distortion,experimental",5
style-vaporwave,Vaporwave,style,"A vaporwave style image of {subject}, pastel colors, retro 80s, dreamy, aesthetic","subject","A vaporwave style image of landscape, pastel colors, retro 80s, dreamy","style,vaporwave,pastel,retro",4
style-steampunk,Steampunk,style,"A steampunk style image of {subject}, Victorian, brass, mechanical, gears","subject","A steampunk style image of machine, Victorian, brass, mechanical","style,steampunk,Victorian,mechanical",5
style-cyberpunk,Cyberpunk,style,"A cyberpunk style image of {subject}, neon, futuristic, dystopian, high-tech low-life","subject","A cyberpunk style image of city, neon, futuristic, dystopian","style,cyberpunk,neon,futuristic",5
